elo_home,elo_away,elo_diff,home_wins_5,home_draws_5,home_losses_5,home_goals_scored_5,home_goals_conceded_5,home_wins_10,home_wins_20,away_wins_5,away_draws_5,away_losses_5,away_goals_scored_5,away_goals_conceded_5,away_wins_10,away_wins_20,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_home_goals_avg,h2h_away_goals_avg,is_neutral,tournament_weight,phase_encoded,year,result
1500.0,1500.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,1,0,1872,1
1500.0,1500.0,0.0,0,1,0,0.0,0.0,0,0,0,1,0,0.0,0.0,0,0,0,1,0,0.0,0.0,0,1,0,1873,2
1490.0,1510.0,-20.0,0,1,1,2.0,4.0,0,0,1,1,0,4.0,2.0,1,1,0,1,1,1.0,2.0,0,1,0,1874,2
1499.4249887221547,1500.5750112778453,-1.1500225556906116,1,1,1,5.0,4.0,1,1,1,1,1,4.0,5.0,1,1,1,1,1,1.6666666666666667,1.3333333333333333,0,1,0,1875,1
1500.5419110888138,1499.4580889111862,1.0838221776275532,1,2,1,6.0,7.0,1,1,1,2,1,7.0,6.0,1,1,1,2,1,1.5,1.75,0,1,0,1876,2
1510.5107162801307,1500.0,10.510716280130737,2,2,1,9.0,7.0,2,2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,1,0,1876,2
1489.4892837198693,1520.208285803172,-30.719002083302712,1,2,2,7.0,9.0,1,1,3,1,1,13.0,7.0,3,3,1,2,2,1.4,1.8,0,1,0,1877,0
1490.3024304769588,1529.3264186398635,-39.02398816290497,0,0,1,0.0,4.0,0,0,4,1,0,14.0,4.0,4,4,0,0,1,0.0,4.0,0,1,0,1877,0
1538.2079176150808,1480.3711508831775,57.83676673190325,4,1,0,14.0,3.0,5,5,1,1,3,8.0,12.0,1,1,3,2,1,2.0,1.3333333333333333,0,1,0,1878,2
1546.5584499656036,1481.4209315017415,65.13751846386185,5,0,0,19.0,3.0,6,6,0,0,2,0.0,6.0,0,0,2,0,0,3.0,0.0,0,1,0,1878,2
1472.020618532655,1473.274078565929,-1.2534600332739956,0,1,4,6.0,17.0,1,1,0,0,3,0.0,15.0,0,0,0,0,0,0.0,0.0,0,1,0,1879,2
1482.0566958559702,1554.7053029014166,-72.6486070454464,1,1,3,7.0,16.0,2,2,5,0,0,25.0,3.0,7,7,1,2,4,1.4285714285714286,2.7142857142857144,0,1,0,1879,2
1463.238001242613,1542.6442587828014,-79.40625754018834,0,0,4,1.0,17.0,0,0,4,0,1,25.0,8.0,7,7,0,0,3,0.0,5.0,0,1,0,1879,0
1550.3977429507918,1494.1177399745854,56.28000297620633,4,0,1,25.0,7.0,8,8,2,0,3,10.0,18.0,3,3,4,2,2,2.875,1.875,0,1,0,1880,2
1455.4845170746228,1485.723587505152,-30.239070430529186,0,0,5,1.0,20.0,0,0,2,0,3,14.0,20.0,3,3,0,0,1,1.0,2.0,0,1,0,1880,0
1558.7918954202253,1446.3526764599444,112.43921896028088,4,0,1,28.0,11.0,8,9,0,0,5,3.0,19.0,0,0,4,0,0,4.5,0.0,0,1,0,1880,2
1494.8554281198303,1439.480496047922,55.37493207190846,3,0,2,16.0,19.0,4,4,0,0,5,4.0,22.0,0,0,2,0,0,2.5,1.5,0,1,0,1881,0
1483.27496942294,1565.6640758322478,-82.38910640930794,3,0,2,14.0,13.0,3,4,4,0,1,26.0,10.0,9,10,2,2,5,2.111111111111111,3.111111111111111,0,1,0,1881,0
1451.0609547448123,1573.336198502608,-122.27524375779558,1,0,4,5.0,13.0,1,1,4,0,1,23.0,11.0,9,11,0,0,5,0.2,4.6,0,1,0,1881,0
1500.0,1475.6028467525798,24.397153247420192,0,0,0,0.0,0.0,0,0,2,0,3,13.0,18.0,3,4,0,0,0,0.0,0.0,0,1,0,1882,0
1444.441872351669,1489.298945390206,-44.85707303853701,1,0,4,5.0,16.0,1,1,0,0,1,0.0,13.0,0,0,0,0,0,0.0,0.0,0,1,0,1882,2
1579.9552808957512,1486.3039013623738,93.6513795333774,5,0,0,24.0,7.0,9,12,2,0,3,21.0,14.0,4,5,6,2,2,3.4,2.0,0,1,0,1882,2
1455.7258364198606,1478.9359651082682,-23.21012868840762,2,0,3,12.0,14.0,2,2,2,0,3,18.0,14.0,4,5,1,0,2,1.3333333333333333,1.6666666666666667,0,1,0,1882,2
1587.3232171498569,1466.3928856187422,120.93033153111467,5,0,0,26.0,8.0,9,13,3,0,2,15.0,14.0,3,3,6,0,0,4.666666666666667,0.3333333333333333,0,1,0,1882,2
1468.2689159093866,1459.7394735335954,8.529442375791177,1,0,4,18.0,17.0,4,5,3,0,2,14.0,14.0,3,3,2,0,2,2.0,2.25,0,1,0,1883,2
1478.0234681310724,1478.0149813220144,0.008486809058013,2,0,3,23.0,16.0,5,6,0,0,2,1.0,20.0,0,0,1,0,0,13.0,0.0,0,1,0,1883,2
1488.0232238610722,1593.9766292350037,-105.95340537393145,3,0,2,29.0,10.0,5,7,5,0,0,26.0,4.0,9,14,2,1,7,2.1,3.9,0,1,0,1883,0
1449.9849213119096,1601.0181926447565,-151.03327133284665,2,0,3,13.0,19.0,3,3,5,0,0,24.0,5.0,9,15,0,0,7,0.2857142857142857,4.714285714285714,0,1,0,1883,0
1468.0152255920143,1444.0774104346788,23.937815157335763,0,0,3,1.0,27.0,0,0,2,0,3,12.0,17.0,3,3,0,0,1,1.0,7.0,0,1,0,1883,1
1467.3273280296733,1606.925703521987,-139.59837549231383,0,1,3,2.0,28.0,0,0,5,0,0,21.0,4.0,9,16,0,0,0,0.0,0.0,0,5,0,1884,0
1444.76530799702,1458.0496030505478,-13.284295053527783,1,1,3,6.0,17.0,3,3,0,1,4,2.0,33.0,0,0,1,1,0,4.0,1.0,0,5,0,1884,2
1442.476353254352,1480.9816604513196,-38.50530719696758,0,1,4,2.0,26.0,0,0,2,0,3,18.0,13.0,4,7,0,0,2,0.0,10.0,0,5,0,1884,0
1616.2034285011125,1494.326025698512,121.8774028026005,5,0,0,21.0,3.0,10,17,3,0,2,25.0,9.0,5,8,8,1,1,4.0,1.9,0,5,0,1884,2
1460.3385577932158,1484.3821833894035,-24.043625596187667,1,1,3,7.0,14.0,4,4,3,0,2,22.0,5.0,4,8,2,0,3,1.8,2.6,0,5,0,1884,0
1626.147270810221,1446.3749506283189,179.77232018190216,5,0,0,17.0,2.0,10,18,1,1,3,7.0,13.0,4,4,8,0,0,4.5,0.25,0,5,0,1884,2
1498.3457905543005,1429.1319880071596,69.21380254714086,3,0,2,21.0,5.0,5,8,0,1,4,2.0,27.0,0,0,3,0,0,9.333333333333334,0.3333333333333333,0,5,0,1885,2
1510.396502757229,1438.510618726588,71.88588403064091,3,0,2,18.0,5.0,6,9,1,1,3,8.0,12.0,3,4,4,0,2,2.833333333333333,1.5,0,5,0,1885,1
1634.0116027119518,1417.0812758042312,216.93032690772063,5,0,0,16.0,3.0,10,18,0,1,4,2.0,24.0,0,0,1,0,0,5.0,0.0,0,5,0,1885,2
1507.3364813920546,1640.6990935801937,-133.3626121881391,3,1,1,17.0,3.0,5,9,5,0,0,21.0,3.0,10,19,1,1,8,1.8,3.9,0,5,0,1885,1
1441.5706400917625,1635.2084192395682,-193.63777914780576,1,2,2,9.0,10.0,3,4,4,1,0,19.0,4.0,9,18,0,0,9,0.3333333333333333,4.444444444444445,0,5,0,1885,0
1410.3937849359893,1434.1605941598518,-23.766809223862538,0,0,5,3.0,31.0,0,0,1,1,3,9.0,17.0,2,4,0,1,2,0.6666666666666666,4.666666666666667,0,5,0,1885,0
