date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,elo_home,elo_away,diferencia_elo,resultado,puntos_home,puntos_away,dif_goles_home,dif_goles_away,peso_torneo
1932-04-09,England,Scotland,3.0,0.0,British Home Championship,London,England,False,1950.0,1991.0,-41.0,H,3,0,3.0,-3.0,5
1932-04-10,France,Italy,1.0,2.0,Friendly,Colombes,France,False,1524.0,1740.0,-216.0,A,0,3,-1.0,1.0,1
1932-04-17,Netherlands,Belgium,2.0,1.0,Friendly,Amsterdam,Netherlands,False,1769.0,1651.0,118.0,H,3,0,1.0,-1.0,1
1932-04-17,Switzerland,Czechoslovakia,5.0,1.0,Central European International Cup,Zürich,Switzerland,False,1543.0,1869.0,-326.0,H,3,0,4.0,-4.0,5
1932-04-24,Spain,Yugoslavia,2.0,1.0,Friendly,Oviedo,Spain,False,2026.0,1653.0,373.0,H,3,0,1.0,-1.0,1
1932-05-01,Belgium,France,5.0,2.0,Friendly,Brussels,Belgium,False,1651.0,1524.0,127.0,H,3,0,3.0,-3.0,1
1932-05-08,France,Scotland,1.0,3.0,Friendly,Colombes,France,False,1524.0,1991.0,-467.0,A,0,3,-2.0,2.0,1
1932-05-08,Hungary,Italy,1.0,1.0,Central European International Cup,Budapest,Hungary,False,1929.0,1740.0,189.0,D,1,1,0.0,0.0,5
1932-05-15,Argentina,Uruguay,2.0,0.0,Friendly,Buenos Aires,Argentina,False,2071.0,1967.0,104.0,H,3,0,2.0,-2.0,1
1932-05-18,Uruguay,Argentina,1.0,0.0,Friendly,Montevideo,Uruguay,False,1967.0,2071.0,-104.0,H,3,0,1.0,-1.0,1
1932-05-29,Netherlands,Czechoslovakia,1.0,2.0,Friendly,Amsterdam,Netherlands,False,1769.0,1869.0,-100.0,A,0,3,-1.0,1.0,1
1932-06-05,Denmark,Belgium,3.0,4.0,Friendly,Copenhagen,Denmark,False,1925.0,1651.0,274.0,A,0,3,-1.0,1.0,1
1932-06-05,Yugoslavia,France,2.0,1.0,Friendly,Belgrade,Yugoslavia,False,1653.0,1524.0,129.0,H,3,0,1.0,-1.0,1
1932-06-12,Romania,France,6.0,3.0,Friendly,Bucharest,Romania,False,1577.0,1524.0,53.0,H,3,0,3.0,-3.0,1
1932-06-12,Sweden,Belgium,3.0,1.0,Friendly,Stockholm,Sweden,False,1828.0,1651.0,177.0,H,3,0,2.0,-2.0,1
1932-06-19,Switzerland,Hungary,3.0,1.0,Central European International Cup,Bern,Switzerland,False,1543.0,1929.0,-386.0,H,3,0,2.0,-2.0,5
1932-06-19,Denmark,Sweden,3.0,1.0,Nordic Championship,Copenhagen,Denmark,False,1925.0,1828.0,97.0,H,3,0,2.0,-2.0,5
1932-06-26,Yugoslavia,Greece,7.0,1.0,Balkan Cup,Belgrade,Yugoslavia,False,1653.0,1377.0,276.0,H,3,0,6.0,-6.0,5
1932-06-28,Greece,Romania,0.0,3.0,Balkan Cup,Belgrade,Yugoslavia,True,1377.0,1577.0,-200.0,A,0,3,-3.0,3.0,5
1932-07-01,Sweden,Norway,1.0,4.0,Nordic Championship,Gothenburg,Sweden,False,1828.0,1569.0,259.0,A,0,3,-3.0,3.0,5
1932-07-03,Yugoslavia,Romania,3.0,1.0,Balkan Cup,Belgrade,Yugoslavia,False,1653.0,1577.0,76.0,H,3,0,2.0,-2.0,5
1932-08-30,Finland,Denmark,4.0,2.0,Nordic Championship,Helsinki,Finland,False,1484.0,1728.0,-244.0,H,3,0,2.0,-2.0,5
1932-08-30,Latvia,Estonia,1.0,0.0,Baltic Cup,Riga,Latvia,False,1358.0,1286.0,72.0,H,3,0,1.0,-1.0,5
1932-09-18,Hungary,Czechoslovakia,2.0,1.0,Central European International Cup,Budapest,Hungary,False,1929.0,1869.0,60.0,H,3,0,1.0,-1.0,5
1932-09-25,Germany,Sweden,4.0,3.0,Friendly,Nuremberg,Germany,False,1667.0,1828.0,-161.0,H,3,0,1.0,-1.0,1
1932-09-25,Norway,Denmark,1.0,2.0,Nordic Championship,Oslo,Norway,False,1569.0,1728.0,-159.0,A,0,3,-1.0,1.0,5
1932-10-09,Czechoslovakia,Yugoslavia,2.0,1.0,Friendly,Prague,Czechoslovakia,False,1869.0,1653.0,216.0,H,3,0,1.0,-1.0,1
1932-10-26,Scotland,Wales,2.0,5.0,British Home Championship,Edinburgh,Scotland,False,1991.0,1476.0,515.0,A,0,3,-3.0,3.0,5
1932-10-28,Czechoslovakia,Italy,2.0,1.0,Central European International Cup,Prague,Czechoslovakia,False,1869.0,1740.0,129.0,H,3,0,1.0,-1.0,5
1932-10-30,Hungary,Germany,2.0,1.0,Friendly,Budapest,Hungary,False,1929.0,1667.0,262.0,H,3,0,1.0,-1.0,1
1932-11-06,Switzerland,Sweden,2.0,1.0,Friendly,Basel,Switzerland,False,1543.0,1828.0,-285.0,H,3,0,1.0,-1.0,1
1932-11-16,Wales,England,0.0,0.0,British Home Championship,Wrexham,Wales,False,1476.0,1950.0,-474.0,D,1,1,0.0,0.0,5
1932-11-27,Italy,Hungary,4.0,2.0,Friendly,Milan,Italy,False,1740.0,1929.0,-189.0,H,3,0,2.0,-2.0,1
1932-12-04,Germany,Netherlands,0.0,2.0,Friendly,Düsseldorf,Germany,False,1667.0,1769.0,-102.0,A,0,3,-2.0,2.0,1
1933-01-01,Italy,Germany,3.0,1.0,Friendly,Bologna,Italy,False,1740.0,1667.0,73.0,H,3,0,2.0,-2.0,1
1933-01-21,Uruguay,Argentina,2.0,1.0,Friendly,Montevideo,Uruguay,False,1967.0,2071.0,-104.0,H,3,0,1.0,-1.0,1
1933-01-22,Netherlands,Switzerland,0.0,2.0,Friendly,Amsterdam,Netherlands,False,1769.0,1543.0,226.0,A,0,3,-2.0,2.0,1
1933-02-05,Argentina,Uruguay,4.0,1.0,Friendly,Avellaneda,Argentina,False,2071.0,1967.0,104.0,H,3,0,3.0,-3.0,1
1933-02-12,Belgium,Italy,2.0,3.0,Friendly,Brussels,Belgium,False,1651.0,1740.0,-89.0,A,0,3,-1.0,1.0,1
1933-03-05,Netherlands,Hungary,1.0,2.0,Friendly,Amsterdam,Netherlands,False,1769.0,1929.0,-160.0,A,0,3,-1.0,1.0,1
1933-03-12,Switzerland,Belgium,3.0,3.0,Friendly,Zürich,Switzerland,False,1543.0,1651.0,-108.0,D,1,1,0.0,0.0,1
1933-03-19,Germany,France,3.0,3.0,Friendly,Berlin,Germany,False,1667.0,1524.0,143.0,D,1,1,0.0,0.0,1
1933-03-19,Hungary,Czechoslovakia,2.0,0.0,Friendly,Budapest,Hungary,False,1929.0,1869.0,60.0,H,3,0,2.0,-2.0,1
1933-03-26,France,Belgium,3.0,0.0,Friendly,Colombes,France,False,1524.0,1651.0,-127.0,H,3,0,3.0,-3.0,1
1933-04-01,Scotland,England,2.0,1.0,British Home Championship,Glasgow,Scotland,False,1991.0,1950.0,41.0,H,3,0,1.0,-1.0,5
1933-04-02,Switzerland,Italy,0.0,3.0,Central European International Cup,Geneva,Switzerland,False,1543.0,1740.0,-197.0,A,0,3,-3.0,3.0,5
1933-04-09,Belgium,Netherlands,1.0,3.0,Friendly,Antwerp,Belgium,False,1651.0,1769.0,-118.0,A,0,3,-2.0,2.0,1
1933-04-23,France,Spain,1.0,0.0,Friendly,Colombes,France,False,1524.0,2026.0,-502.0,H,3,0,1.0,-1.0,1
1933-04-30,Yugoslavia,Spain,1.0,1.0,Friendly,Belgrade,Yugoslavia,False,1653.0,2026.0,-373.0,D,1,1,0.0,0.0,1
1933-05-07,Italy,Czechoslovakia,2.0,0.0,Central European International Cup,Florence,Italy,False,1740.0,1869.0,-129.0,H,3,0,2.0,-2.0,5
1933-05-07,Netherlands,Belgium,1.0,2.0,Friendly,Amsterdam,Netherlands,False,1769.0,1651.0,118.0,A,0,3,-1.0,1.0,1
1933-05-07,Switzerland,Yugoslavia,4.0,1.0,Friendly,Zürich,Switzerland,False,1543.0,1653.0,-110.0,H,3,0,3.0,-3.0,1
1933-05-13,Italy,England,1.0,1.0,Friendly,Rome,Italy,False,1740.0,1950.0,-210.0,D,1,1,0.0,0.0,1
1933-05-20,Switzerland,England,0.0,4.0,Friendly,Bern,Switzerland,False,1543.0,1950.0,-407.0,A,0,3,-4.0,4.0,1
1933-05-25,France,Wales,1.0,1.0,Friendly,Colombes,France,False,1524.0,1476.0,48.0,D,1,1,0.0,0.0,1
1933-05-28,Latvia,Estonia,2.0,0.0,Friendly,Riga,Latvia,False,1358.0,1286.0,72.0,H,3,0,2.0,-2.0,1
1933-06-03,Greece,Yugoslavia,3.0,5.0,Balkan Cup,Bucharest,Romania,True,1377.0,1653.0,-276.0,A,0,3,-2.0,2.0,5
1933-06-10,Bulgaria,Greece,2.0,0.0,Balkan Cup,Bucharest,Romania,True,1464.0,1273.0,191.0,H,3,0,2.0,-2.0,5
1933-06-10,Czechoslovakia,France,4.0,0.0,Friendly,Prague,Czechoslovakia,False,1832.0,1599.0,233.0,H,3,0,4.0,-4.0,1
1933-06-11,Sweden,Estonia,6.0,2.0,FIFA World Cup qualification,Stockholm,Sweden,False,1828.0,1286.0,542.0,H,3,0,4.0,-4.0,5
1933-06-11,Romania,Yugoslavia,5.0,0.0,Balkan Cup,Bucharest,Romania,False,1577.0,1653.0,-76.0,H,3,0,5.0,-5.0,5
1933-06-11,Denmark,Norway,2.0,2.0,Nordic Championship,Copenhagen,Denmark,False,1728.0,1569.0,159.0,D,1,1,0.0,0.0,5
